settlement,teaor,bin,count
Dunakeszi,41,1-4,52
Dunakeszi,55,1-4,13
Dunakeszi,66,1-4,121
Dunakeszi,78,1-4,8
Dunakeszi,80,1-4,9
Dunakeszi,90,1-4,119
Dunakeszi,41,5-9,17
Dunapataj,66,1-4,7
Dunapataj,90,1-4,6
Dunaszekcsõ,66,1-4,6
Dunaszentmiklós,55,1-4,11
Dunavarsány,41,1-4,24
Dunavarsány,66,1-4,20
Dunavarsány,90,1-4,18
Dunaújváros,16,1-4,5
Dunaújváros,41,1-4,42
Dunaújváros,66,1-4,103
Dunaújváros,80,1-4,10
Dunaújváros,90,1-4,58
Dunaújváros,41,10-19,6
Dusnok,41,1-4,9
Dány,41,1-4,6
Dány,66,1-4,6
Dány,90,1-4,6
Dávod,66,1-4,5
Délegyháza,41,1-4,11
Délegyháza,66,1-4,11
Délegyháza,90,1-4,11
Dévaványa,41,1-4,7
Dévaványa,66,1-4,10
Dömsöd,41,1-4,14
Dömsöd,66,1-4,11
Dömös,55,1-4,5
