settlement,teaor,bin,count
Alsóörs,77,1-4,5
Alsóörs,81,1-4,14
Alsóörs,82,1-4,6
Alsóörs,85,1-4,8
Alsóörs,86,1-4,9
Alsóörs,96,1-4,13
Alsóújlak,2,1-4,5
Ambrózfalva,1,1-4,5
Anarcs,1,1-4,18
Anarcs,41,1-4,6
Anarcs,43,1-4,16
Anarcs,45,1-4,11
Anarcs,47,1-4,8
Anarcs,66,1-4,5
Anarcs,85,1-4,5
Anarcs,96,1-4,9
Andocs,1,1-4,6
Andocs,41,1-4,5
Andocs,43,1-4,7
Andornaktálya,1,1-4,18
Andornaktálya,31,1-4,5
Andornaktálya,41,1-4,5
Andornaktálya,43,1-4,23
Andornaktálya,45,1-4,12
Andornaktálya,46,1-4,6
Andornaktálya,47,1-4,23
Andornaktálya,49,1-4,10
Andornaktálya,56,1-4,6
Andornaktálya,66,1-4,13
Andornaktálya,69,1-4,8
Andornaktálya,70,1-4,5
Andornaktálya,74,1-4,5
Andornaktálya,82,1-4,5
Andornaktálya,85,1-4,15
Andornaktálya,86,1-4,5
Andornaktálya,90,1-4,5
Andornaktálya,96,1-4,11
Annavölgy,43,1-4,15
Annavölgy,49,1-4,6
Apagy,1,1-4,40
Apagy,43,1-4,15
Apagy,45,1-4,8
Apagy,47,1-4,17
Apagy,66,1-4,5
Apagy,74,1-4,5
Apagy,82,1-4,5
Apagy,86,1-4,6
Apagy,96,1-4,9
Apagy,1,5-9,5
Apaj,1,1-4,11
Apaj,43,1-4,11
Apaj,45,1-4,5
Apaj,47,1-4,5
Apaj,96,1-4,6
Aparhant,1,1-4,22
Aparhant,33,1-4,9
Aparhant,43,1-4,19
Aparhant,47,1-4,8
Aparhant,96,1-4,6
Apc,1,1-4,8
Apc,33,1-4,6
Apc,43,1-4,16
Apc,47,1-4,13
Apc,56,1-4,7
Apc,62,1-4,5
Apc,74,1-4,6
Apc,86,1-4,5
Apc,96,1-4,9
Apc,28,20-49,39
Apc,29,20-49,8
Apc,31,20-49,51
Apc,32,20-49,157
Apc,33,20-49,104
Apostag,1,1-4,26
Apostag,25,1-4,5
Apostag,43,1-4,31
Apostag,45,1-4,5
Apostag,46,1-4,5
Apostag,47,1-4,19
Apostag,69,1-4,5
Apostag,74,1-4,8
Apostag,81,1-4,6
Apostag,85,1-4,5
Apostag,96,1-4,13
Apátfalva,1,1-4,117
Apátfalva,43,1-4,12
Apátfalva,46,1-4,7
Apátfalva,47,1-4,23
Apátfalva,56,1-4,8
Apátfalva,96,1-4,8
Aranyosapáti,1,1-4,11
Aranyosapáti,43,1-4,9
Aranyosapáti,47,1-4,6
Aranyosgadány,43,1-4,7
Arló,2,1-4,6
Arló,43,1-4,8
Arló,47,1-4,14
Arló,96,1-4,5
Arnót,1,1-4,11
Arnót,43,1-4,19
Arnót,45,1-4,7
Arnót,47,1-4,13
Arnót,49,1-4,11
Arnót,62,1-4,5
Arnót,66,1-4,8
Arnót,69,1-4,8
Arnót,70,1-4,5
Arnót,74,1-4,5
Arnót,85,1-4,11
Arnót,86,1-4,8
Arnót,90,1-4,5
Arnót,96,1-4,11
Aszaló,1,1-4,8
Aszaló,43,1-4,10
Aszaló,47,1-4,9
Aszód,1,1-4,9
Aszód,25,1-4,9
Aszód,33,1-4,6
Aszód,41,1-4,11
Aszód,42,1-4,5
Aszód,43,1-4,81
Aszód,45,1-4,17
Aszód,46,1-4,7
Aszód,47,1-4,54
Aszód,49,1-4,6
Aszód,53,1-4,7
Aszód,56,1-4,15
Aszód,62,1-4,20
Aszód,66,1-4,9
Aszód,68,1-4,10
Aszód,69,1-4,29
Aszód,70,1-4,7
Aszód,74,1-4,20
Aszód,81,1-4,5
Aszód,82,1-4,15
Aszód,85,1-4,15
Aszód,86,1-4,18
Aszód,90,1-4,11
Aszód,93,1-4,9
Aszód,96,1-4,52
Aszód,43,5-9,7
Aszód,47,5-9,11
Aszód,56,5-9,5
Aszófõ,1,1-4,5
Aszófõ,23,1-4,7
Aszófõ,25,1-4,23
Aszófõ,28,1-4,6
Aszófõ,31,1-4,11
Aszófõ,32,1-4,18
Aszófõ,33,1-4,15
Aszófõ,43,1-4,12
Aszófõ,47,1-4,5
Atkár,1,1-4,20
Atkár,16,1-4,5
Atkár,43,1-4,24
Atkár,47,1-4,19
Atkár,70,1-4,5
Atkár,74,1-4,5
Atkár,85,1-4,5
Atkár,96,1-4,13
Attala,1,1-4,15
Attala,43,1-4,7
Babarc,1,1-4,12
Babarc,43,1-4,10
Babosdöbréte,1,1-4,6
Babócsa,1,1-4,10
Babót,1,1-4,11
Badacsonytomaj,1,1-4,27
Badacsonytomaj,11,1-4,11
Badacsonytomaj,41,1-4,5
Badacsonytomaj,43,1-4,26
Badacsonytomaj,47,1-4,16
Badacsonytomaj,49,1-4,8
Badacsonytomaj,55,1-4,19
Badacsonytomaj,56,1-4,32
Badacsonytomaj,62,1-4,7
Badacsonytomaj,68,1-4,8
Badacsonytomaj,69,1-4,7
Badacsonytomaj,70,1-4,10
Badacsonytomaj,73,1-4,5
Badacsonytomaj,74,1-4,7
Badacsonytomaj,81,1-4,10
Badacsonytomaj,82,1-4,9
Badacsonytomaj,85,1-4,8
Badacsonytomaj,86,1-4,5
Badacsonytomaj,94,1-4,6
Badacsonytomaj,96,1-4,10
Badacsonytördemic,1,1-4,5
Badacsonytördemic,43,1-4,8
Badacsonytördemic,56,1-4,10
Bag,1,1-4,13
Bag,16,1-4,6
Bag,41,1-4,7
Bag,43,1-4,47
Bag,45,1-4,7
Bag,46,1-4,7
Bag,47,1-4,27
Bag,49,1-4,12
Bag,56,1-4,7
Bag,62,1-4,10
Bag,63,1-4,6
Bag,66,1-4,7
Bag,68,1-4,5
Bag,70,1-4,5
Bag,74,1-4,6
Bag,81,1-4,5
Bag,85,1-4,11
Bag,90,1-4,7
Bag,95,1-4,7
Bag,96,1-4,22
Bag,43,5-9,8
Bag,47,5-9,6
Bagamér,1,1-4,41
Bagamér,41,1-4,5
Bagamér,43,1-4,8
Bagamér,47,1-4,12
Bagamér,80,1-4,5
Bagod,1,1-4,14
Baj,1,1-4,6
Baj,33,1-4,6
Baj,41,1-4,5
Baj,43,1-4,39
Baj,45,1-4,6
Baj,46,1-4,8
Baj,47,1-4,21
Baj,49,1-4,11
Baj,53,1-4,6
Baj,62,1-4,8
Baj,68,1-4,8
Baj,69,1-4,12
Baj,70,1-4,5
Baj,74,1-4,16
Baj,81,1-4,6
Baj,82,1-4,8
Baj,85,1-4,10
Baj,96,1-4,26
Baj,43,5-9,5
Baja,1,1-4,160
Baja,10,1-4,16
Baja,11,1-4,5
Baja,13,1-4,8
Baja,14,1-4,5
Baja,2,1-4,10
Baja,35,1-4,10
Baja,41,1-4,30
Baja,42,1-4,17
Baja,43,1-4,316
Baja,45,1-4,134
Baja,46,1-4,82
Baja,47,1-4,383
Baja,49,1-4,73
Baja,52,1-4,8
Baja,53,1-4,14
Baja,55,1-4,13
Baja,56,1-4,81
Baja,58,1-4,12
Baja,59,1-4,5
Baja,62,1-4,74
Baja,63,1-4,20
Baja,66,1-4,94
Baja,68,1-4,101
Baja,69,1-4,197
Baja,70,1-4,80
Baja,72,1-4,7
Baja,73,1-4,30
Baja,74,1-4,107
Baja,75,1-4,12
Baja,77,1-4,24
Baja,80,1-4,6
Baja,81,1-4,60
Baja,82,1-4,62
Baja,85,1-4,139
Baja,86,1-4,143
Baja,90,1-4,43
Baja,93,1-4,54
Baja,94,1-4,10
Baja,95,1-4,29
Baja,96,1-4,271
Baja,41,10-19,7
Baja,43,10-19,7
Baja,45,10-19,7
Baja,46,10-19,12
Baja,47,10-19,24
Baja,56,10-19,13
Baja,46,20-49,5
Baja,47,20-49,7
Baja,1,5-9,8
Baja,10,5-9,7
Baja,41,5-9,7
Baja,42,5-9,5
Baja,43,5-9,29
Baja,45,5-9,12
Baja,46,5-9,14
Baja,47,5-9,62
Baja,56,5-9,11
Baja,69,5-9,6
Baja,85,5-9,5
Baja,86,5-9,6
Baja,96,5-9,5
Bajna,1,1-4,11
Bajna,43,1-4,38
Bajna,47,1-4,20
Bajna,49,1-4,8
Bajna,56,1-4,5
Bajna,70,1-4,5
Bajna,96,1-4,9
Bajót,43,1-4,27
Bajót,47,1-4,7
Bajót,49,1-4,6
Bajót,81,1-4,6
Bak,1,1-4,18
Bakonszeg,1,1-4,38
Bakonszeg,25,1-4,23
Bakonszeg,32,1-4,17
Bakonszeg,33,1-4,8
Bakonszeg,43,1-4,7
Bakonszeg,47,1-4,6
Bakonszeg,25,10-19,14
Bakonszeg,32,10-19,8
Bakonszeg,33,10-19,8
Bakonybánk,1,1-4,6
Bakonybél,16,1-4,15
Bakonybél,2,1-4,10
Bakonybél,43,1-4,15
Bakonybél,47,1-4,12
Bakonybél,55,1-4,6
Bakonycsernye,1,1-4,12
Bakonycsernye,43,1-4,26
Bakonycsernye,47,1-4,16
Bakonycsernye,49,1-4,11
Bakonycsernye,66,1-4,6
Bakonycsernye,74,1-4,6
Bakonycsernye,81,1-4,9
Bakonycsernye,82,1-4,6
Bakonycsernye,86,1-4,5
Bakonycsernye,96,1-4,17
Bakonyjákó,2,1-4,6
Bakonyjákó,43,1-4,8
Bakonykúti,43,1-4,5
Bakonynána,43,1-4,11
Bakonynána,47,1-4,7
Bakonynána,96,1-4,5
Bakonypölöske,22,1-4,6
Bakonypölöske,23,1-4,6
Bakonypölöske,25,1-4,37
Bakonypölöske,28,1-4,6
Bakonypölöske,30,1-4,5
Bakonypölöske,31,1-4,16
Bakonypölöske,32,1-4,20
Bakonypölöske,33,1-4,27
Bakonypölöske,43,1-4,7
Bakonyszentiván,1,1-4,5
Bakonyszentkirály,1,1-4,5
Bakonyszentkirály,43,1-4,11
Bakonyszentkirály,47,1-4,6
Bakonyszentkirály,23,5-9,20
Bakonyszentkirály,25,5-9,32
Bakonyszentkirály,31,5-9,5
Bakonyszentkirály,32,5-9,49
Bakonyszentkirály,33,5-9,35
Bakonyszentlászló,2,1-4,13
Bakonyszombathely,1,1-4,21
Bakonyszombathely,43,1-4,13
Bakonyszombathely,56,1-4,5
Bakonyszombathely,96,1-4,8
Bakonysárkány,43,1-4,9
Bakonytamási,1,1-4,7
Bakonytamási,43,1-4,5
Baks,1,1-4,20
Baks,41,1-4,6
Baks,43,1-4,25
Baks,45,1-4,5
Baks,47,1-4,24
Baks,85,1-4,5
Baks,96,1-4,8
Baksa,1,1-4,15
Baksa,43,1-4,8
Baksa,47,1-4,6
Baksa,96,1-4,5
Baktakék,1,1-4,12
Baktalórántháza,1,1-4,22
Baktalórántháza,43,1-4,20
Baktalórántháza,45,1-4,7
Baktalórántháza,47,1-4,17
Baktalórántháza,56,1-4,5
Baktalórántháza,66,1-4,8
Baktalórántháza,70,1-4,6
Baktalórántháza,85,1-4,9
Baktalórántháza,86,1-4,7
Baktalórántháza,96,1-4,10
Baktalórántháza,25,20-49,9
Baktüttös,1,1-4,6
Balassagyarmat,1,1-4,35
Balassagyarmat,10,1-4,5
Balassagyarmat,13,1-4,6
Balassagyarmat,14,1-4,5
Balassagyarmat,2,1-4,5
Balassagyarmat,41,1-4,11
Balassagyarmat,42,1-4,5
Balassagyarmat,43,1-4,112
Balassagyarmat,45,1-4,36
Balassagyarmat,46,1-4,15
Balassagyarmat,47,1-4,116
Balassagyarmat,49,1-4,27
Balassagyarmat,52,1-4,6
Balassagyarmat,55,1-4,6
Balassagyarmat,56,1-4,40
Balassagyarmat,59,1-4,14
Balassagyarmat,62,1-4,34
Balassagyarmat,63,1-4,11
Balassagyarmat,66,1-4,36
Balassagyarmat,68,1-4,30
Balassagyarmat,69,1-4,53
Balassagyarmat,70,1-4,27
Balassagyarmat,73,1-4,6
Balassagyarmat,74,1-4,43
Balassagyarmat,77,1-4,5
Balassagyarmat,80,1-4,14
Balassagyarmat,81,1-4,24
Balassagyarmat,82,1-4,20
Balassagyarmat,85,1-4,73
Balassagyarmat,86,1-4,58
Balassagyarmat,90,1-4,17
Balassagyarmat,93,1-4,11
Balassagyarmat,94,1-4,9
Balassagyarmat,95,1-4,15
Balassagyarmat,96,1-4,119
Balassagyarmat,25,10-19,16
Balassagyarmat,25,250-1000,12
Balassagyarmat,47,5-9,16
Balaton,43,1-4,7
Balaton,47,1-4,6
Balatonakali,43,1-4,10
Balatonakali,47,1-4,8
Balatonakali,55,1-4,6
Balatonakali,56,1-4,6
Balatonakali,81,1-4,9
Balatonakali,85,1-4,5
Balatonakali,96,1-4,8
Balatonakarattya,23,1-4,16
Balatonakarattya,25,1-4,56
Balatonakarattya,28,1-4,9
Balatonakarattya,31,1-4,23
Balatonakarattya,32,1-4,30
Balatonakarattya,33,1-4,32
Balatonakarattya,43,1-4,10
Balatonakarattya,47,1-4,5
Balatonakarattya,70,1-4,8
Balatonakarattya,74,1-4,5
Balatonakarattya,85,1-4,5
Balatonakarattya,86,1-4,7
Balatonakarattya,96,1-4,5
Balatonalmádi,1,1-4,26
Balatonalmádi,41,1-4,22
Balatonalmádi,43,1-4,116
Balatonalmádi,45,1-4,22
Balatonalmádi,46,1-4,30
Balatonalmádi,47,1-4,91
Balatonalmádi,49,1-4,14
Balatonalmádi,55,1-4,23
Balatonalmádi,56,1-4,43
Balatonalmádi,59,1-4,11
Balatonalmádi,62,1-4,45
Balatonalmádi,63,1-4,9
Balatonalmádi,66,1-4,27
Balatonalmádi,68,1-4,44
Balatonalmádi,69,1-4,31
Balatonalmádi,70,1-4,72
Balatonalmádi,73,1-4,11
Balatonalmádi,74,1-4,43
Balatonalmádi,77,1-4,12
Balatonalmádi,81,1-4,50
Balatonalmádi,82,1-4,32
Balatonalmádi,85,1-4,62
Balatonalmádi,86,1-4,60
Balatonalmádi,90,1-4,34
Balatonalmádi,93,1-4,16
Balatonalmádi,95,1-4,8
Balatonalmádi,96,1-4,68
